candidate,gene_1,gene_2,effect,pathway_relevance,uncertainty,priority,experiment_priority_0_10
IKZF3_PRDM1,IKZF3,PRDM1,0.90936553,0.7142857142857143,0.022221025079488754,0.6354269718805234,10.0
CNN1_IKZF3,CNN1,IKZF3,0.78946894,0.7142857142857143,0.017736991867423058,0.5540786992410234,8.719785652177263
IKZF3_ZBTB1,IKZF3,ZBTB1,0.78483367,0.7142857142857143,0.016292165964841843,0.5516085798005976,8.680912271761644
IKZF3_PTPN1,IKZF3,PTPN1,0.7834485,0.7142857142857143,0.017050134018063545,0.5502246792800437,8.65913320694703
IER5L_IKZF3,IER5L,IKZF3,0.74985224,0.7142857142857143,0.015371272340416908,0.5275003907523562,8.30151085956011
IKZF3_TP73,IKZF3,TP73,0.93704367,0.5714285714285714,0.02477003075182438,0.5225109125366459,8.222989197173886
CBL_IKZF3,CBL,IKZF3,0.7387785,0.7142857142857143,0.01207242626696825,0.5214042936430819,8.205573838013274
IKZF3_KLF1,IKZF3,KLF1,0.73071665,0.7142857142857143,0.017689479514956474,0.5128680916261761,8.071235788250556
IKZF3_ZBTB25,IKZF3,ZBTB25,0.7239098,0.7142857142857143,0.011828995309770107,0.5110334133533583,8.042362631239481
BPGM_IKZF3,BPGM,IKZF3,0.7215926,0.7142857142857143,0.014714502729475498,0.5079490713700221,7.993822954457928
IKZF3_PTPN12,IKZF3,PTPN12,0.716929,0.7142857142857143,0.012522303499281406,0.505758889754652,7.9593550814797265
IGDCC3_IKZF3,IGDCC3,IKZF3,0.718652,0.7142857142857143,0.01625661551952362,0.5051114614369078,7.949166210903016
DUSP9_PRDM1,DUSP9,PRDM1,0.6978243,0.7142857142857143,0.018238861113786697,0.4895176830626489,7.703759908301325
PRDM1_TP73,PRDM1,TP73,0.8737726,0.5714285714285714,0.02052322030067444,0.4892575011794146,7.699665309004345
CNNM4_IKZF3,CNNM4,IKZF3,0.6847975,0.7142857142857143,0.016839928925037384,0.48104040337276266,7.570349145695544
AHR_IKZF3,AHR,IKZF3,0.6825211,0.7142857142857143,0.016108211129903793,0.479786571475538,7.550617029296487
PRDM1_PTPN1,PRDM1,PTPN1,0.6750805,0.7142857142857143,0.01512097381055355,0.47501761268431714,7.475565780258264
PRDM1_ZBTB1,PRDM1,ZBTB1,0.67021334,0.7142857142857143,0.014729103073477745,0.47177499300972175,7.424535216273878
CNN1_PRDM1,CNN1,PRDM1,0.66951257,0.7142857142857143,0.015539831481873989,0.47090547253036263,7.410851181477781
CLDN6_PRDM1,CLDN6,PRDM1,0.6687567,0.7142857142857143,0.016848722472786903,0.4697683768518815,7.392956195447901
